"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OP07";;;
2;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole";;;
3;"C3";"C_Elec_10x10.2";1;"470uF";;;
4;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x03";;;
5;"C8,C2,C1";"CP_Elec_5x5.4";3;"10uF";;;
6;"X1";"Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm";1;"SG-5032CAN";;;
7;"C5";"C_Elec_8x10.2";1;"220uF";;;
8;"D1";"D_SOD-123";1;"1N5822";;;
9;"RV2";"Potentiometer_Vishay_TS53YJ_Vertical";1;"100K";;;
10;"RV1";"Potentiometer_Vishay_TS53YJ_Vertical";1;"10K";;;
11;"U2";"MSOP-10_3x3mm_P0.5mm";1;"AD9833xRM";;;
12;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
13;"SW1";"SW_SPDT_PCM12";1;"Output";;;
14;"R3,R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"1K3";;;
15;"L1";"L_Taiyo-Yuden_NR-10050_9.8x10.0mm";1;"33uH";;;
16;"J3";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";1;"Conn_Coaxial";;;
17;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
18;"C11,C10,C9,C7,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";5;"100nF";;;
19;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10nF";;;
